Date,Open,High,Low,Close,Volume
2025-08-18,150.12,152.45,149.88,152.05,1200000
2025-08-19,152.06,153.11,151.50,152.90,1150000
2025-08-20,153.00,155.00,152.80,154.75,1350000
2025-08-21,154.76,155.25,153.90,154.50,1100000
2025-08-22,154.51,154.60,150.50,151.25,1800000
2025-08-25,151.26,152.00,150.10,151.80,950000
2025-08-26,151.81,153.90,151.75,153.60,1050000
2025-08-27,153.61,154.10,152.50,153.00,900000
2025-08-28,153.01,153.50,149.90,150.15,1950000
2025-08-29,150.16,151.30,149.80,151.10,1250000
2025-09-02,151.11,153.00,151.05,152.80,1100000
2025-09-03,152.81,155.50,152.70,155.45,1500000
2025-09-04,155.46,156.00,155.10,155.90,1300000
2025-09-05,155.91,158.20,155.85,158.05,1700000
2025-09-08,158.06,158.10,156.50,156.75,1400000
2025-09-09,156.78,157.90,156.55,157.85,980000
2025-09-10,157.88,159.40,157.80,159.10,1200000
2025-09-11,159.12,161.50,159.00,161.45,1550000
2025-09-12,161.40,162.30,160.80,161.90,1300000
2025-09-15,162.00,162.50,160.10,160.45,1100000
2025-09-16,160.50,161.00,158.80,159.20,1450000
2025-09-17,159.25,159.80,157.50,157.60,1700000
2025-09-18,157.60,158.10,155.50,155.95,1900000
2025-09-19,156.00,156.20,153.40,153.80,2100000
2025-09-22,153.85,155.90,153.70,155.75,1250000
2025-09-23,155.70,156.80,155.50,156.50,950000
2025-09-24,156.55,157.20,155.80,156.00,850000
2025-09-25,156.00,156.10,154.00,154.25,1300000
2025-09-26,154.30,155.00,153.10,154.90,1150000
2025-09-29,155.00,157.80,154.95,157.75,1400000
2025-09-30,157.80,159.20,157.70,158.90,1600000
2025-10-01,159.00,162.10,158.95,161.80,1800000
2025-10-02,161.85,163.40,161.50,163.00,1500000
2025-10-03,163.00,163.50,162.00,162.40,1100000
2025-10-06,162.50,164.80,162.45,164.75,1350000
2025-10-07,164.80,168.00,164.70,167.90,2200000
2025-10-08,167.95,170.10,167.80,169.80,2400000
2025-10-09,169.80,172.50,169.75,172.45,2100000
2025-10-10,172.40,173.10,171.50,172.00,1800000
2025-10-13,172.00,172.20,170.00,170.25,1500000
2025-10-14,170.20,171.80,169.90,171.60,1200000
2025-10-15,171.65,174.00,171.50,173.90,1700000
2025-10-16,173.90,175.50,173.80,175.00,1900000
2025-10-17,175.00,175.10,173.50,174.20,1400000
2025-10-20,174.25,174.80,172.80,173.10,1150000
2025-10-21,173.10,173.50,170.50,170.80,1850000
2025-10-22,170.80,171.90,170.10,171.50,1050000
2025-10-23,171.55,172.60,170.90,172.40,950000
2025-10-24,172.40,173.00,171.20,172.80,850000
2025-10-27,172.85,174.90,172.80,174.50,1250000
2025-10-28,174.50,175.20,173.80,174.10,980000
2025-10-29,174.15,174.50,172.10,172.30,1350000
2025-10-30,172.30,173.10,170.80,171.00,1650000
2025-10-31,171.10,172.90,170.90,172.75,1400000
2025-11-03,172.80,175.00,172.70,174.90,1300000
2025-11-04,174.95,176.80,174.80,176.50,1500000
2025-11-05,176.50,177.20,175.90,176.10,1100000
2025-11-06,176.15,176.90,175.00,175.25,1250000
2025-11-07,175.30,175.80,173.10,173.40,1550000
2025-11-10,173.40,174.50,172.90,174.20,1100000
2025-11-11,174.25,174.30,171.80,172.10,1400000
2025-11-12,172.10,172.50,169.50,170.00,1800000
2025-11-13,170.05,171.20,169.80,171.10,1200000
2025-11-14,171.10,171.90,170.50,171.75,950000
2025-11-17,171.80,173.50,171.70,173.45,1050000
2025-11-18,173.50,174.00,172.10,172.30,1150000
2025-11-19,172.30,172.80,170.40,170.60,1600000
2025-11-20,170.65,171.50,169.90,171.40,1300000
2025-11-21,171.40,172.90,171.30,172.85,1100000
2025-11-24,172.90,175.00,172.80,174.95,1400000
2025-11-25,175.00,176.20,174.80,176.15,1350000
2025-11-26,176.10,177.00,175.50,176.80,1250000
2025-11-28,176.85,178.50,176.70,178.45,1500000
2025-12-01,178.50,180.20,178.40,180.10,1700000
2025-12-02,180.15,181.80,180.00,181.75,1900000
2025-12-03,181.80,182.50,180.90,181.20,1600000
2025-12-04,181.20,181.30,179.50,179.80,1850000
2025-12-05,179.85,180.90,179.70,180.85,1300000
2025-12-08,180.90,182.60,180.80,182.55,1450000
2025-12-09,182.60,183.90,182.50,183.80,1650000
2025-12-10,183.85,185.00,183.70,184.95,1800000
2025-12-11,185.00,185.10,183.50,183.60,1500000
2025-12-12,183.65,184.80,183.50,184.75,1200000
2025-12-15,184.80,186.20,184.70,186.15,1400000
2025-12-16,186.20,186.30,184.90,185.10,1300000
2025-12-17,185.15,185.90,184.50,185.85,1100000
2025-12-18,185.90,187.00,185.80,186.95,1550000
2025-12-19,187.00,188.50,186.90,188.45,1950000
2025-12-22,188.50,188.60,187.10,187.25,1400000
2025-12-23,187.30,188.00,186.90,187.95,1150000
2025-12-24,188.00,189.20,187.90,189.15,950000
